station_id,datetime,hour,day_of_week,location,weather,latitude,longitude,demand,month,is_weekend,part_of_day,is_holiday,prev_hour_demand,avg_demand_last_3h
ST001,2025-07-01 00:00:00,0,Tuesday,Quan 1,sunny,10.780716309637157,106.69707781534164,5,7,False,night,False,0.0,5.0
ST001,2025-07-01 01:00:00,1,Tuesday,Quan 1,sunny,10.780716309637157,106.69707781534164,9,7,False,night,False,5.0,7.0
ST001,2025-07-01 02:00:00,2,Tuesday,Quan 1,sunny,10.780716309637157,106.69707781534164,3,7,False,night,False,9.0,5.666666666666667
ST001,2025-07-01 03:00:00,3,Tuesday,Quan 1,sunny,10.780716309637157,106.69707781534164,3,7,False,night,False,3.0,5.0
ST001,2025-07-01 04:00:00,4,Tuesday,Quan 1,sunny,10.780716309637157,106.69707781534164,6,7,False,night,False,3.0,4.0
ST001,2025-07-01 05:00:00,5,Tuesday,Quan 1,sunny,10.780716309637157,106.69707781534164,2,7,False,night,False,6.0,3.6666666666666665
ST001,2025-07-01 06:00:00,6,Tuesday,Quan 1,sunny,10.780716309637157,106.69707781534164,6,7,False,morning,False,2.0,4.666666666666667
ST001,2025-07-01 07:00:00,7,Tuesday,Quan 1,cloudy,10.780716309637157,106.69707781534164,13,7,False,morning,False,6.0,7.0
ST001,2025-07-01 08:00:00,8,Tuesday,Quan 1,sunny,10.780716309637157,106.69707781534164,7,7,False,morning,False,13.0,8.666666666666666
ST001,2025-07-01 09:00:00,9,Tuesday,Quan 1,rainy,10.780716309637157,106.69707781534164,9,7,False,morning,False,7.0,9.666666666666666
ST001,2025-07-01 10:00:00,10,Tuesday,Quan 1,sunny,10.780716309637157,106.69707781534164,9,7,False,morning,False,9.0,8.333333333333334
ST001,2025-07-01 11:00:00,11,Tuesday,Quan 1,sunny,10.780716309637157,106.69707781534164,7,7,False,morning,False,9.0,8.333333333333334
ST001,2025-07-01 12:00:00,12,Tuesday,Quan 1,sunny,10.780716309637157,106.69707781534164,3,7,False,afternoon,False,7.0,6.333333333333333
ST001,2025-07-01 13:00:00,13,Tuesday,Quan 1,cloudy,10.780716309637157,106.69707781534164,4,7,False,afternoon,False,3.0,4.666666666666667
ST001,2025-07-01 14:00:00,14,Tuesday,Quan 1,sunny,10.780716309637157,106.69707781534164,6,7,False,afternoon,False,4.0,4.333333333333333
ST001,2025-07-01 15:00:00,15,Tuesday,Quan 1,sunny,10.780716309637157,106.69707781534164,7,7,False,afternoon,False,6.0,5.666666666666667
ST001,2025-07-01 16:00:00,16,Tuesday,Quan 1,sunny,10.780716309637157,106.69707781534164,8,7,False,afternoon,False,7.0,7.0
ST001,2025-07-01 17:00:00,17,Tuesday,Quan 1,sunny,10.780716309637157,106.69707781534164,10,7,False,afternoon,False,8.0,8.333333333333334
ST001,2025-07-01 18:00:00,18,Tuesday,Quan 1,cloudy,10.780716309637157,106.69707781534164,11,7,False,evening,False,10.0,9.666666666666666
ST001,2025-07-01 19:00:00,19,Tuesday,Quan 1,sunny,10.780716309637157,106.69707781534164,14,7,False,evening,False,11.0,11.666666666666666
ST001,2025-07-01 20:00:00,20,Tuesday,Quan 1,rainy,10.780716309637157,106.69707781534164,4,7,False,evening,False,14.0,9.666666666666666
ST001,2025-07-01 21:00:00,21,Tuesday,Quan 1,sunny,10.780716309637157,106.69707781534164,3,7,False,evening,False,4.0,7.0
ST001,2025-07-01 22:00:00,22,Tuesday,Quan 1,sunny,10.780716309637157,106.69707781534164,3,7,False,evening,False,3.0,3.3333333333333335
ST001,2025-07-01 23:00:00,23,Tuesday,Quan 1,sunny,10.780716309637157,106.69707781534164,5,7,False,evening,False,3.0,3.6666666666666665
ST001,2025-07-02 00:00:00,0,Wednesday,Quan 1,rainy,10.780716309637157,106.69707781534164,5,7,False,night,False,5.0,4.333333333333333
ST001,2025-07-02 01:00:00,1,Wednesday,Quan 1,sunny,10.780716309637157,106.69707781534164,2,7,False,night,False,5.0,4.0
ST001,2025-07-02 02:00:00,2,Wednesday,Quan 1,sunny,10.780716309637157,106.69707781534164,5,7,False,night,False,2.0,4.0
ST001,2025-07-02 03:00:00,3,Wednesday,Quan 1,sunny,10.780716309637157,106.69707781534164,6,7,False,night,False,5.0,4.333333333333333
ST001,2025-07-02 04:00:00,4,Wednesday,Quan 1,sunny,10.780716309637157,106.69707781534164,3,7,False,night,False,6.0,4.666666666666667
ST001,2025-07-02 05:00:00,5,Wednesday,Quan 1,cloudy,10.780716309637157,106.69707781534164,5,7,False,night,False,3.0,4.666666666666667
ST001,2025-07-02 06:00:00,6,Wednesday,Quan 1,sunny,10.780716309637157,106.69707781534164,5,7,False,morning,False,5.0,4.333333333333333
ST001,2025-07-02 07:00:00,7,Wednesday,Quan 1,rainy,10.780716309637157,106.69707781534164,9,7,False,morning,False,5.0,6.333333333333333
ST001,2025-07-02 08:00:00,8,Wednesday,Quan 1,cloudy,10.780716309637157,106.69707781534164,12,7,False,morning,False,9.0,8.666666666666666
ST001,2025-07-02 09:00:00,9,Wednesday,Quan 1,sunny,10.780716309637157,106.69707781534164,11,7,False,morning,False,12.0,10.666666666666666
ST001,2025-07-02 10:00:00,10,Wednesday,Quan 1,sunny,10.780716309637157,106.69707781534164,2,7,False,morning,False,11.0,8.333333333333334
ST001,2025-07-02 11:00:00,11,Wednesday,Quan 1,sunny,10.780716309637157,106.69707781534164,8,7,False,morning,False,2.0,7.0
ST001,2025-07-02 12:00:00,12,Wednesday,Quan 1,sunny,10.780716309637157,106.69707781534164,8,7,False,afternoon,False,8.0,6.0
ST001,2025-07-02 13:00:00,13,Wednesday,Quan 1,cloudy,10.780716309637157,106.69707781534164,6,7,False,afternoon,False,8.0,7.333333333333333
ST001,2025-07-02 14:00:00,14,Wednesday,Quan 1,sunny,10.780716309637157,106.69707781534164,5,7,False,afternoon,False,6.0,6.333333333333333
ST001,2025-07-02 15:00:00,15,Wednesday,Quan 1,rainy,10.780716309637157,106.69707781534164,3,7,False,afternoon,False,5.0,4.666666666666667
ST001,2025-07-02 16:00:00,16,Wednesday,Quan 1,rainy,10.780716309637157,106.69707781534164,6,7,False,afternoon,False,3.0,4.666666666666667
ST001,2025-07-02 17:00:00,17,Wednesday,Quan 1,sunny,10.780716309637157,106.69707781534164,14,7,False,afternoon,False,6.0,7.666666666666667
ST001,2025-07-02 18:00:00,18,Wednesday,Quan 1,sunny,10.780716309637157,106.69707781534164,10,7,False,evening,False,14.0,10.0
ST001,2025-07-02 19:00:00,19,Wednesday,Quan 1,sunny,10.780716309637157,106.69707781534164,17,7,False,evening,False,10.0,13.666666666666666
ST001,2025-07-02 20:00:00,20,Wednesday,Quan 1,rainy,10.780716309637157,106.69707781534164,6,7,False,evening,False,17.0,11.0
ST001,2025-07-02 21:00:00,21,Wednesday,Quan 1,sunny,10.780716309637157,106.69707781534164,5,7,False,evening,False,6.0,9.333333333333334
ST001,2025-07-02 22:00:00,22,Wednesday,Quan 1,rainy,10.780716309637157,106.69707781534164,8,7,False,evening,False,5.0,6.333333333333333
ST001,2025-07-02 23:00:00,23,Wednesday,Quan 1,sunny,10.780716309637157,106.69707781534164,8,7,False,evening,False,8.0,7.0
ST001,2025-07-03 00:00:00,0,Thursday,Quan 1,cloudy,10.780716309637157,106.69707781534164,2,7,False,night,False,8.0,6.0
ST001,2025-07-03 01:00:00,1,Thursday,Quan 1,sunny,10.780716309637157,106.69707781534164,5,7,False,night,False,2.0,5.0
ST001,2025-07-03 02:00:00,2,Thursday,Quan 1,sunny,10.780716309637157,106.69707781534164,5,7,False,night,False,5.0,4.0
ST001,2025-07-03 03:00:00,3,Thursday,Quan 1,sunny,10.780716309637157,106.69707781534164,5,7,False,night,False,5.0,5.0
ST001,2025-07-03 04:00:00,4,Thursday,Quan 1,rainy,10.780716309637157,106.69707781534164,4,7,False,night,False,5.0,4.666666666666667
ST001,2025-07-03 05:00:00,5,Thursday,Quan 1,cloudy,10.780716309637157,106.69707781534164,7,7,False,night,False,4.0,5.333333333333333
ST001,2025-07-03 06:00:00,6,Thursday,Quan 1,sunny,10.780716309637157,106.69707781534164,4,7,False,morning,False,7.0,5.0
ST001,2025-07-03 07:00:00,7,Thursday,Quan 1,sunny,10.780716309637157,106.69707781534164,9,7,False,morning,False,4.0,6.666666666666667
ST001,2025-07-03 08:00:00,8,Thursday,Quan 1,sunny,10.780716309637157,106.69707781534164,9,7,False,morning,False,9.0,7.333333333333333
ST001,2025-07-03 09:00:00,9,Thursday,Quan 1,cloudy,10.780716309637157,106.69707781534164,11,7,False,morning,False,9.0,9.666666666666666
ST001,2025-07-03 10:00:00,10,Thursday,Quan 1,sunny,10.780716309637157,106.69707781534164,3,7,False,morning,False,11.0,7.666666666666667
ST001,2025-07-03 11:00:00,11,Thursday,Quan 1,sunny,10.780716309637157,106.69707781534164,5,7,False,morning,False,3.0,6.333333333333333
ST001,2025-07-03 12:00:00,12,Thursday,Quan 1,sunny,10.780716309637157,106.69707781534164,3,7,False,afternoon,False,5.0,3.6666666666666665
ST001,2025-07-03 13:00:00,13,Thursday,Quan 1,sunny,10.780716309637157,106.69707781534164,7,7,False,afternoon,False,3.0,5.0
ST001,2025-07-03 14:00:00,14,Thursday,Quan 1,cloudy,10.780716309637157,106.69707781534164,5,7,False,afternoon,False,7.0,5.0
ST001,2025-07-03 15:00:00,15,Thursday,Quan 1,sunny,10.780716309637157,106.69707781534164,8,7,False,afternoon,False,5.0,6.666666666666667
ST001,2025-07-03 16:00:00,16,Thursday,Quan 1,rainy,10.780716309637157,106.69707781534164,9,7,False,afternoon,False,8.0,7.333333333333333
ST001,2025-07-03 17:00:00,17,Thursday,Quan 1,rainy,10.780716309637157,106.69707781534164,10,7,False,afternoon,False,9.0,9.0
ST001,2025-07-03 18:00:00,18,Thursday,Quan 1,sunny,10.780716309637157,106.69707781534164,12,7,False,evening,False,10.0,10.333333333333334
